,Pclass,Age,SibSp,Parch,Fare,Name,Sex,Cabin,Survived
0,3.0,22.0,1.0,0.0,7.25,0,0,3,0
1,1.0,38.0,1.0,0.0,71.2833,1,1,0,1
2,3.0,26.0,0.0,0.0,7.925,2,1,3,1
3,1.0,35.0,1.0,0.0,53.1,3,1,1,1
4,3.0,35.0,0.0,0.0,8.05,4,0,3,0
5,3.0,28.0,0.0,0.0,8.4583,5,0,3,0
6,1.0,54.0,0.0,0.0,51.8625,6,0,2,0
7,3.0,2.0,3.0,1.0,21.075,7,0,3,0
8,3.0,27.0,0.0,2.0,11.1333,8,1,3,1
9,2.0,14.0,1.0,0.0,30.0708,9,1,3,1
10,3.0,4.0,1.0,1.0,16.7,10,1,3,1
11,1.0,58.0,0.0,0.0,26.55,11,1,4,1
12,3.0,20.0,0.0,0.0,8.05,12,0,3,0
13,3.0,39.0,1.0,5.0,31.275,13,0,3,0
14,3.0,14.0,0.0,0.0,7.8542,14,1,3,0
15,2.0,55.0,0.0,0.0,16.0,15,1,3,1
16,3.0,2.0,4.0,1.0,29.125,16,0,3,0
17,2.0,28.0,0.0,0.0,13.0,17,0,3,1
18,3.0,31.0,1.0,0.0,18.0,18,1,3,0
19,3.0,28.0,0.0,0.0,7.225,19,1,3,1
20,2.0,35.0,0.0,0.0,26.0,20,0,3,0
21,2.0,34.0,0.0,0.0,13.0,21,0,5,1
22,3.0,15.0,0.0,0.0,8.0292,22,1,3,1
23,1.0,28.0,0.0,0.0,35.5,23,0,6,1
24,3.0,8.0,3.0,1.0,21.075,24,1,3,0
25,3.0,38.0,1.0,5.0,31.3875,25,1,3,1
26,3.0,28.0,0.0,0.0,7.225,26,0,3,0
27,1.0,19.0,3.0,2.0,263.0,27,0,7,0
28,3.0,28.0,0.0,0.0,7.8792,28,1,3,1
29,3.0,28.0,0.0,0.0,7.8958,29,0,3,0
30,1.0,40.0,0.0,0.0,27.7208,30,0,3,0
31,1.0,28.0,1.0,0.0,146.5208,31,1,8,1
32,3.0,28.0,0.0,0.0,7.75,32,1,3,1
33,2.0,66.0,0.0,0.0,10.5,33,0,3,0
34,1.0,28.0,1.0,0.0,82.1708,34,0,3,0
35,1.0,42.0,1.0,0.0,52.0,35,0,3,0
36,3.0,28.0,0.0,0.0,7.2292,36,0,3,1
37,3.0,21.0,0.0,0.0,8.05,37,0,3,0
38,3.0,18.0,2.0,0.0,18.0,38,1,3,0
39,3.0,14.0,1.0,0.0,11.2417,39,1,3,1
40,3.0,40.0,1.0,0.0,9.475,40,1,3,0
41,2.0,27.0,1.0,0.0,21.0,41,1,3,0
42,3.0,28.0,0.0,0.0,7.8958,42,0,3,0
43,2.0,3.0,1.0,2.0,41.5792,43,1,3,1
44,3.0,19.0,0.0,0.0,7.8792,44,1,3,1
45,3.0,28.0,0.0,0.0,8.05,45,0,3,0
46,3.0,28.0,1.0,0.0,15.5,46,0,3,0
47,3.0,28.0,0.0,0.0,7.75,47,1,3,1
